Id;Book;URL;FullName;FirstName
0;Baptism of Fire;https://witcher.fandom.com/wiki/Adalia;Adalia;Adalia
1;Baptism of Fire;https://witcher.fandom.com/wiki/Adela;Adela;Adela
2;Baptism of Fire;https://witcher.fandom.com/wiki/Aen_Saevherne;Aen Saevherne;Aen
3;Baptism of Fire;https://witcher.fandom.com/wiki/Aevenien;Aevenien;Aevenien
4;Baptism of Fire;https://witcher.fandom.com/wiki/Agla%C3%AFs;Aglaïs;Aglaïs
5;Baptism of Fire;https://witcher.fandom.com/wiki/Albrich;Albrich;Albrich
6;Baptism of Fire;https://witcher.fandom.com/wiki/Amavet;Amavet;Amavet
7;Baptism of Fire;https://witcher.fandom.com/wiki/Angus_Bri_Cri;Angus Bri Cri;Angus
8;Baptism of Fire;https://witcher.fandom.com/wiki/Anna_Kameny;Anna Kameny;Anna
9;Baptism of Fire;https://witcher.fandom.com/wiki/Anzelm_Aubry;Anzelm Aubry;Anzelm
10;Baptism of Fire;https://witcher.fandom.com/wiki/Artaud_Terranova;Artaud Terranova;Artaud
11;Baptism of Fire;https://witcher.fandom.com/wiki/Asse;Asse;Asse
12;Baptism of Fire;https://witcher.fandom.com/wiki/Assire_var_Anahid;Assire var Anahid;Assire
13;Baptism of Fire;https://witcher.fandom.com/wiki/Aubry_(first_born);Aubry;Aubry
14;Baptism of Fire;https://witcher.fandom.com/wiki/Augusta_Wagner;Augusta Wagner;Augusta
15;Baptism of Fire;https://witcher.fandom.com/wiki/Baron_of_Casadei;Baron of Casadei;Baron
16;Baptism of Fire;https://witcher.fandom.com/wiki/Beatrix_of_Kovir;Beatrix of Kovir;Beatrix
17;Baptism of Fire;https://witcher.fandom.com/wiki/Bronik;Bronik;Bronik
18;Baptism of Fire;https://witcher.fandom.com/wiki/Brouver_Hoog;Brouver Hoog;Brouver
19;Baptism of Fire;https://witcher.fandom.com/wiki/Cahir_Mawr_Dyffryn_aep_Ceallach;Cahir Mawr Dyffryn aep Ceallach;Cahir
20;Baptism of Fire;https://witcher.fandom.com/wiki/Calanthe;Calanthe;Calanthe
21;Baptism of Fire;https://witcher.fandom.com/wiki/Caleb_Stratton;Caleb Stratton;Caleb
22;Baptism of Fire;https://witcher.fandom.com/wiki/Carduin;Carduin;Carduin
23;Baptism of Fire;https://witcher.fandom.com/wiki/Ceallach_aep_Gruffyd;Ceallach aep Gruffyd;Ceallach
24;Baptism of Fire;https://witcher.fandom.com/wiki/Cerro;Cerro;Cerro
25;Baptism of Fire;https://witcher.fandom.com/wiki/Ciaran_aep_Dearbh;Ciaran aep Dearbh;Ciaran
26;Baptism of Fire;https://witcher.fandom.com/wiki/Ciri;Ciri;Ciri
27;Baptism of Fire;https://witcher.fandom.com/wiki/Cirilla_Fiona_(imposter);Cirilla Fiona;Cirilla
28;Baptism of Fire;https://witcher.fandom.com/wiki/Codringher;Codringher;Codringher
29;Baptism of Fire;https://witcher.fandom.com/wiki/Coinneach_D%C3%A1_Reo;Coinneach Dá Reo;Coinneach
30;Baptism of Fire;https://witcher.fandom.com/wiki/Connor;Connor;Connor
31;Baptism of Fire;https://witcher.fandom.com/wiki/Coram_I;Coram I;Coram I
32;Baptism of Fire;https://witcher.fandom.com/wiki/Coram_II;Coram II;Coram II
33;Baptism of Fire;https://witcher.fandom.com/wiki/Corbett;Corbett;Corbett
34;Baptism of Fire;https://witcher.fandom.com/wiki/Cosmo_Baldenvegg;Cosmo Baldenvegg;Cosmo
35;Baptism of Fire;https://witcher.fandom.com/wiki/Count_Lanier;Count Lanier;Count
36;Baptism of Fire;https://witcher.fandom.com/wiki/Cregennan_of_Lod;Cregennan of Lod;Cregennan
37;Baptism of Fire;https://witcher.fandom.com/wiki/Crispin;Crispin;Crispin
38;Baptism of Fire;https://witcher.fandom.com/wiki/Dagorad;Dagorad;Dagorad
39;Baptism of Fire;https://witcher.fandom.com/wiki/Dandelion;Dandelion;Dandelion
40;Baptism of Fire;https://witcher.fandom.com/wiki/Daniel_Etcheverry;Daniel Etcheverry;Daniel
41;Baptism of Fire;https://witcher.fandom.com/wiki/Demavend_III;Demavend III;Demavend III
42;Baptism of Fire;https://witcher.fandom.com/wiki/Echel_Traighlethan;Echel Traighlethan;Echel
43;Baptism of Fire;https://witcher.fandom.com/wiki/Effenberg;Effenberg;Effenberg
44;Baptism of Fire;https://witcher.fandom.com/wiki/Eithn%C3%A9;Eithné;Eithné
45;Baptism of Fire;https://witcher.fandom.com/wiki/Elan_Trahe;Elan Trahe;Elan
46;Baptism of Fire;https://witcher.fandom.com/wiki/Elen_of_Kaedwen;Elen of Kaedwen;Elen
47;Baptism of Fire;https://witcher.fandom.com/wiki/Emhyr_var_Emreis;Emhyr var Emreis;Emhyr
48;Baptism of Fire;https://witcher.fandom.com/wiki/Emiel_Regis_Rohellec_Terzieff-Godefroy;Emiel Regis Rohellec Terzieff-Godefroy;Emiel
49;Baptism of Fire;https://witcher.fandom.com/wiki/Ethain;Ethain;Ethain
50;Baptism of Fire;https://witcher.fandom.com/wiki/Falka;Falka;Falka
51;Baptism of Fire;https://witcher.fandom.com/wiki/Falka_(alias);Falka;Falka
52;Baptism of Fire;https://witcher.fandom.com/wiki/Fauve;Fauve;Fauve
53;Baptism of Fire;https://witcher.fandom.com/wiki/Field_Marshal_Windbag;Field Marshal Windbag;Field
54;Baptism of Fire;https://witcher.fandom.com/wiki/Figgis_Merluzzo;Figgis Merluzzo;Figgis
55;Baptism of Fire;https://witcher.fandom.com/wiki/Fiona;Fiona;Fiona
56;Baptism of Fire;https://witcher.fandom.com/wiki/Flourens_Delannoy;Flourens Delannoy;Flourens
57;Baptism of Fire;https://witcher.fandom.com/wiki/Francesca_Findabair;Francesca Findabair;Francesca
58;Baptism of Fire;https://witcher.fandom.com/wiki/Fringilla_Vigo;Fringilla Vigo;Fringilla
59;Baptism of Fire;https://witcher.fandom.com/wiki/Geralt_of_Rivia;Geralt of Rivia;Geralt
60;Baptism of Fire;https://witcher.fandom.com/wiki/Gerhart_of_Aelle;Gerhart of Aelle;Gerhart
61;Baptism of Fire;https://witcher.fandom.com/wiki/Giselher;Giselher;Giselher
62;Baptism of Fire;https://witcher.fandom.com/wiki/Goidemar;Goidemar;Goidemar
63;Baptism of Fire;https://witcher.fandom.com/wiki/Havekar;Havekar;Havekar
64;Baptism of Fire;https://witcher.fandom.com/wiki/Hector_Laabs;Hector Laabs;Hector
65;Baptism of Fire;https://witcher.fandom.com/wiki/Hedwig_of_Malleore;Hedwig of Malleore;Hedwig
66;Baptism of Fire;https://witcher.fandom.com/wiki/Henselt;Henselt;Henselt
67;Baptism of Fire;https://witcher.fandom.com/wiki/Houtborg_triplets;Houtborg triplets;Houtborg
68;Baptism of Fire;https://witcher.fandom.com/wiki/Ida_Emean_aep_Sivney;Ida Emean aep Sivney;Ida
69;Baptism of Fire;https://witcher.fandom.com/wiki/Iorweth;Iorweth;Iorweth
70;Baptism of Fire;https://witcher.fandom.com/wiki/Isengrim_Faoiltiarna;Isengrim Faoiltiarna;Isengrim
71;Baptism of Fire;https://witcher.fandom.com/wiki/Iskra;Iskra;Iskra
72;Baptism of Fire;https://witcher.fandom.com/wiki/Istredd;Istredd;Istredd
73;Baptism of Fire;https://witcher.fandom.com/wiki/Ithlinne;Ithlinne;Ithlinne
74;Baptism of Fire;https://witcher.fandom.com/wiki/Jacob_Fenn;Jacob Fenn;Jacob
75;Baptism of Fire;https://witcher.fandom.com/wiki/Jan_Lennep;Jan Lennep;Jan
76;Baptism of Fire;https://witcher.fandom.com/wiki/Jan_Struycken;Jan Struycken;Jan
77;Baptism of Fire;https://witcher.fandom.com/wiki/Jolie_Lanier;Jolie Lanier;Jolie
78;Baptism of Fire;https://witcher.fandom.com/wiki/Kayleigh;Kayleigh;Kayleigh
79;Baptism of Fire;https://witcher.fandom.com/wiki/Keira_Metz;Keira Metz;Keira
80;Baptism of Fire;https://witcher.fandom.com/wiki/Kolda;Kolda;Kolda
81;Baptism of Fire;https://witcher.fandom.com/wiki/Lara_Dorren;Lara Dorren;Lara
82;Baptism of Fire;https://witcher.fandom.com/wiki/Leo_Bonhart;Leo Bonhart;Leo
83;Baptism of Fire;https://witcher.fandom.com/wiki/Leticia_Charbonneau;Leticia Charbonneau;Leticia
84;Baptism of Fire;https://witcher.fandom.com/wiki/Lucretia_Vigo;Lucretia Vigo;Lucretia
85;Baptism of Fire;https://witcher.fandom.com/wiki/Margarita_Laux-Antille;Margarita Laux-Antille;Margarita
86;Baptism of Fire;https://witcher.fandom.com/wiki/Merlin;Merlin;Merlin
87;Baptism of Fire;https://witcher.fandom.com/wiki/Meve;Meve;Meve
88;Baptism of Fire;https://witcher.fandom.com/wiki/Milenka;Milenka;Milenka
89;Baptism of Fire;https://witcher.fandom.com/wiki/Millet;Millet;Millet
90;Baptism of Fire;https://witcher.fandom.com/wiki/Milva;Milva;Milva
91;Baptism of Fire;https://witcher.fandom.com/wiki/Mistle;Mistle;Mistle
92;Baptism of Fire;https://witcher.fandom.com/wiki/Morteisen;Morteisen;Morteisen
93;Baptism of Fire;https://witcher.fandom.com/wiki/Munro_Bruys;Munro Bruys;Munro
94;Baptism of Fire;https://witcher.fandom.com/wiki/Muriel;Muriel;Muriel
95;Baptism of Fire;https://witcher.fandom.com/wiki/Mykitka;Mykitka;Mykitka
96;Baptism of Fire;https://witcher.fandom.com/wiki/Nazarian;Nazarian;Nazarian
97;Baptism of Fire;https://witcher.fandom.com/wiki/Nimue_verch_Wledyr_ap_Gwyn;Nimue verch Wledyr ap Gwyn;Nimue
98;Baptism of Fire;https://witcher.fandom.com/wiki/Ori_Reuven;Ori Reuven;Ori
99;Baptism of Fire;https://witcher.fandom.com/wiki/Orla;Orla;Orla
100;Baptism of Fire;https://witcher.fandom.com/wiki/Papebrock;Papebrock;Papebrock
101;Baptism of Fire;https://witcher.fandom.com/wiki/Percival_Schuttenbach;Percival Schuttenbach;Percival
102;Baptism of Fire;https://witcher.fandom.com/wiki/Philippa_Eilhart;Philippa Eilhart;Philippa
103;Baptism of Fire;https://witcher.fandom.com/wiki/Pinto;Pinto;Pinto
104;Baptism of Fire;https://witcher.fandom.com/wiki/Radovid_V;Radovid V;Radovid V
105;Baptism of Fire;https://witcher.fandom.com/wiki/Reef;Reef;Reef
106;Baptism of Fire;https://witcher.fandom.com/wiki/Reynard_Odo;Reynard Odo;Reynard
107;Baptism of Fire;https://witcher.fandom.com/wiki/Riannon;Riannon;Riannon
108;Baptism of Fire;https://witcher.fandom.com/wiki/Rience;Rience;Rience
109;Baptism of Fire;https://witcher.fandom.com/wiki/Riordain;Riordain;Riordain
110;Baptism of Fire;https://witcher.fandom.com/wiki/Roach;Roach;Roach
111;Baptism of Fire;https://witcher.fandom.com/wiki/Robert_of_Garramone;Robert of Garramone;Robert
112;Baptism of Fire;https://witcher.fandom.com/wiki/Roger_Kameny;Roger Kameny;Roger
113;Baptism of Fire;https://witcher.fandom.com/wiki/Sabrina_Glevissig;Sabrina Glevissig;Sabrina
