Id;URL;FullName;FirstName;Status;Race;Gender;Nationality;Parent(s);Child(ren);Relative(s);Partner(s);Profession;Abilities
0;https://witcher.fandom.com/wiki/Adalia;Adalia;Adalia;Deceased;Unknown;Female;;{'https://witcher.fandom.com/wiki/Muriel': 'Muriel (mother)', 'https://witcher.fandom.com/wiki/Robert_of_Garramone': 'Robert of Garramone (father)'};{'https://witcher.fandom.com/wiki/Calanthe': 'Calanthe (daughter)'};{'https://witcher.fandom.com/wiki/Pavetta': 'Pavetta (granddaughter)', 'https://witcher.fandom.com/wiki/Ciri': 'Ciri (great-granddaughter)'};{'https://witcher.fandom.com/wiki/Ragbard': 'Ragbard (first husband)', 'https://witcher.fandom.com/wiki/Dagorad': 'Dagorad (second husband)'};;
1;https://witcher.fandom.com/wiki/Adela;Adela;Adela;Deceased (plague);Quarter-elf;Female;;{'https://witcher.fandom.com/wiki/Goidemar': 'Goidemar (father)'};;{'https://witcher.fandom.com/wiki/Amavet': 'Amavet (brother)', 'https://witcher.fandom.com/wiki/Fiona': 'Fiona (sister)', 'https://witcher.fandom.com/wiki/Cedric_(king)': 'Cedric (king) (half-brother)'};;;
2;https://witcher.fandom.com/wiki/Aen_Saevherne;Aen Saevherne;Aen;;Unknown;;;;;;;;
3;https://witcher.fandom.com/wiki/Aevenien;Aevenien;Aevenien;;Elf;Female;;;{'https://witcher.fandom.com/wiki/Ithlinne': 'Ithlinne (daughter)'};;;;
4;https://witcher.fandom.com/wiki/Agla%C3%AFs;Aglaïs;Aglaïs;;Hamadryad;Female;Brokilonian;;;;;Healer;
5;https://witcher.fandom.com/wiki/Albrich;Albrich;Albrich;Deceased (game canon only, killed by Queen Meve);Human;Male;;;;;;Mage;Magic
6;https://witcher.fandom.com/wiki/Amavet;Amavet;Amavet;Deceased (killed by Roger Kameny);Quarter-elf;Male;;{'https://witcher.fandom.com/wiki/Goidemar': 'Goidemar (father)', 'https://witcher.fandom.com/wiki/Riannon': 'Riannon (mother)'};{'https://witcher.fandom.com/wiki/Muriel': 'Muriel (daughter)', 'https://witcher.fandom.com/wiki/Crispin': 'Crispin (son)'};{'https://witcher.fandom.com/wiki/Adela': 'Adela (sister)', 'https://witcher.fandom.com/wiki/Fiona': 'Fiona (sister)', 'https://witcher.fandom.com/wiki/Cedric_(king)': 'Cedric (king) (half-brother)'};{'https://witcher.fandom.com/wiki/Tvilla_de_Vintre': 'Tvilla de Vintre (lover)', 'https://witcher.fandom.com/wiki/Ilona_Laux-Antille': 'Ilona Laux-Antille (lover)', 'https://witcher.fandom.com/wiki/Anna_Kameny': 'Anna Kameny (lover)'};;
7;https://witcher.fandom.com/wiki/Angus_Bri_Cri;Angus Bri Cri;Angus;Deceased (executed in Dillingen);Aen Seidhe Elf;Male;;;;;;Soldier;Swordsmanship
8;https://witcher.fandom.com/wiki/Anna_Kameny;Anna Kameny;Anna;Deceased;Human;Female;;;{'https://witcher.fandom.com/wiki/Muriel': 'Muriel (daughter)', 'https://witcher.fandom.com/wiki/Crispin': 'Crispin (son)'};;{'https://witcher.fandom.com/wiki/Roger_Kameny': 'Roger Kameny (husband)', 'https://witcher.fandom.com/wiki/Amavet': 'Amavet (lover)'};;
9;https://witcher.fandom.com/wiki/Anzelm_Aubry;Anzelm Aubry;Anzelm;Deceased (killed during the Battle of Brenna);Human;Male;;;{};;;Knight;
10;https://witcher.fandom.com/wiki/Artaud_Terranova;Artaud Terranova;Artaud;Deceased (killed by Geralt of Rivia);Human;Male;;;;;;Mage;Magic
11;https://witcher.fandom.com/wiki/Asse;Asse;Asse;Deceased (killed by Leo Bonhart);Human;Male;;;;;;;
12;https://witcher.fandom.com/wiki/Assire_var_Anahid;Assire var Anahid;Assire;Deceased;Human;Female;;;;{'https://witcher.fandom.com/wiki/Eviva': 'Eviva (sister)', 'https://witcher.fandom.com/wiki/Mawr': 'Mawr (niece)', 'https://witcher.fandom.com/wiki/Cinead_var_Anahid': 'Cinead var Anahid (niece)', 'https://witcher.fandom.com/wiki/Cahir_Mawr_Dyffryn_aep_Ceallach': 'Cahir Mawr Dyffryn aep Ceallach (grandnephew)'};;"Mage
Researcher";Magic
13;https://witcher.fandom.com/wiki/Aubry_(first_born);Aubry;Aubry;;Human;Male;;{'https://witcher.fandom.com/wiki/Anzelm_Aubry': 'Anzelm Aubry (father)'};;{};;;
14;https://witcher.fandom.com/wiki/Augusta_Wagner;Augusta Wagner;Augusta;Deceased;Human;Female;;;;{'https://witcher.fandom.com/wiki/Nora_Wagner': 'Nora Wagner (sister)'};;Mage;Magic
15;https://witcher.fandom.com/wiki/Baron_of_Casadei;Baron of Casadei;Baron;;Human;Male;;;;;;;
16;https://witcher.fandom.com/wiki/Beatrix_of_Kovir;Beatrix of Kovir;Beatrix;;Half-elf;Female;;;{'https://witcher.fandom.com/wiki/Falka': 'Falka (daughter)'};;{'https://witcher.fandom.com/wiki/Vridank': 'Vridank (husband, divorced)'};;
17;https://witcher.fandom.com/wiki/Bronik;Bronik;Bronik;;Human;Male;;;;;;;
18;https://witcher.fandom.com/wiki/Brouver_Hoog;Brouver Hoog;Brouver;;Dwarf;Male;;;;;;;
19;https://witcher.fandom.com/wiki/Cahir_Mawr_Dyffryn_aep_Ceallach;Cahir Mawr Dyffryn aep Ceallach;Cahir;Deceased (killed by Leo Bonhart);Human;Male;;{'https://witcher.fandom.com/wiki/Ceallach_aep_Gruffyd': 'Ceallach aep Gruffyd (father)', 'https://witcher.fandom.com/wiki/Mawr': 'Mawr (mother)'};;{'https://witcher.fandom.com/wiki/Aillil_aep_Ceallach': 'Aillil aep Ceallach (brother)', 'https://witcher.fandom.com/wiki/Dheran_aep_Ceallach': 'Dheran aep Ceallach (brother)', 'https://witcher.fandom.com/wiki/Assire_var_Anahid': 'Assire var Anahid (great-aunt)', 'https://witcher.fandom.com/wiki/Gruffyd': 'Gruffyd (grandfather)'};;Knight;"Swordmanship
Horsemanship"
