;Book;Sentence;Entities;CharacterEntities
1;The Last Wish;Velerad spat vehemently on the straw.;['Velerad'];['Velerad']
2;The Last Wish;'Come on, Geralt, it'll be supper soon.;['Geralt'];['Geralt']
6;The Last Wish;Damned mother's-!' 'Careful, Velerad,' snarled Ostrit.;['Careful', 'Velerad', 'Ostrit'];['Velerad', 'Ostrit']
7;The Last Wish;'Say what you want about the striga but do not insult Adda in front of me, as you would not dare in the king's presence!';['Adda'];['Adda']
10;The Last Wish;Segelin and Ostrit looked at each other.;['Segelin', 'Ostrit'];['Segelin', 'Ostrit']
14;The Last Wish;And then,' interrupted Velerad, 'there was another, the miller she attacked near the town.;['Velerad'];['Velerad']
24;The Last Wish;Having finished his examination Geralt nodded to the miller and soldier, dismissing them.;['Geralt', 'miller'];['Geralt']
26;The Last Wish;It was Foltest himself.;['Foltest'];['Foltest']
44;The Last Wish;Geralt rubbed his brow.;['Geralt'];['Geralt']
68;The Last Wish;Geralt grimaced.;['Geralt'];['Geralt']
69;The Last Wish;Foltest looked the Rivian in the eyes for a long while.;['Foltest', 'Rivian'];['Foltest']
73;The Last Wish;Geralt was silent for a moment.;['Geralt'];['Geralt']
78;The Last Wish;Foltest got up.;['Foltest'];['Foltest']
109;The Last Wish;Geralt was silent.;['Geralt'];['Geralt']
115;The Last Wish;Foltest grew gloomy.;['Foltest'];['Foltest']
116;The Last Wish;'I do not think it will come to that,' added Geralt.;['Geralt'];['Geralt']
133;The Last Wish;Foltest grew pensive.;['Foltest'];['Foltest']
146;The Last Wish;'Geralt.';['Geralt'];['Geralt']
147;The Last Wish;For the first time Foltest called the witcher by his name.;['first', 'Foltest'];['Foltest']
148;The Last Wish;'Yes.' 'How much truth is there in the rumour that the child is as she is because Adda was my sister?';['Adda'];['Adda']
154;The Last Wish;Geralt?;['Geralt'];['Geralt']
167;The Last Wish;he asked, not looking at Geralt.;['Geralt'];['Geralt']
171;The Last Wish;Do you know what, Geralt?;['Geralt'];['Geralt']
174;The Last Wish;Foltest turned, his eyes glinted.;['Foltest'];['Foltest']
184;The Last Wish;Foltest turned away, started towards the door.;['Foltest'];['Foltest']
185;The Last Wish;For a moment Geralt thought he would leave without a word, without a parting gesture, but the king stopped and looked at him.;['Geralt'];['Geralt']
194;The Last Wish;Geralt did not reply.;['Geralt'];['Geralt']
198;The Last Wish;He didn't confirm it, didn't nod, didn't make the slightest gesture, but Foltest knew.;['Foltest'];['Foltest']
200;The Last Wish;V Geralt looked out of the palace window for the last time.;['Geralt'];['Geralt']
217;The Last Wish;Geralt whispered an incantation and drank, one after the other, the contents of two vials, placing his left hand on the blade of the sword after each sip.;['Geralt', 'two'];['Geralt']
225;The Last Wish;For anyone who was not, like Geralt, inured to it from childhood, it would have been lethal poison.;['Geralt'];['Geralt']
230;The Last Wish;Geralt threw his sword across his back, hid his bundle in the hearth of the ruined chimney-place and, silent as a bat, ran downstairs.;['Geralt'];['Geralt']
232;The Last Wish;"The man, Ostrit, backed away abruptly; an involuntary grimace of terror and repulsion contorted his lips.";['Ostrit'];['Ostrit']
235;The Last Wish;But the mixture enables one to see in the deepest darkness, and this is what Geralt wanted.;['Geralt'];['Geralt']
236;The Last Wish;Ostrit quickly regained control.;['Ostrit'];['Ostrit']
245;The Last Wish;Ostrit hefted a sizeable purse in his hand and threw it at Geralt's feet.;['Ostrit', 'Geralt'];['Ostrit', 'Geralt']
250;The Last Wish;Ostrit raised his voice.;['Ostrit'];['Ostrit']
256;The Last Wish;I am not in league with Velerad and Segelin.;['Velerad', 'Segelin'];['Velerad', 'Segelin']
266;The Last Wish;'Now, that,' Ostrit raised his head proudly, 'should really be of damn little concern to you.';['Ostrit'];['Ostrit']
268;The Last Wish;'It will be easier to remove Foltest from the throne if the striga frightens the people even more?;['Foltest'];['Foltest']
277;The Last Wish;Ostrit yelled furiously, placing his hand on the hilt of his sword.;['Ostrit'];['Ostrit']
283;The Last Wish;Who bends double to Foltest and behind his back bargains with Velerad like a hired thug?;['Foltest', 'Velerad'];['Foltest', 'Velerad']
291;The Last Wish;'You'd better leave, Lord Ostrit,' he said.;['Ostrit'];['Ostrit']
293;The Last Wish;Ostrit took a step back, drew his sword in a flash.;['Ostrit'];['Ostrit']
298;The Last Wish;Geralt smiled.;['Geralt'];['Geralt']
300;The Last Wish;But the witcher was not going to lose his strength on spells, much less expose his silver sword to contact with Ostrit's blade.;['Ostrit'];['Ostrit']
304;The Last Wish;He did not see Geralt standing right beside him.;['Geralt'];['Geralt']
313;The Last Wish;Ostrit panted heavily.;['Ostrit'];['Ostrit']
319;The Last Wish;But not now.' 'You scoundrel,' hissed Ostrit.;['Ostrit'];['Ostrit']
322;The Last Wish;Ostrit didn't say anything.;['Ostrit'];['Ostrit']
324;The Last Wish;'Witcher?' 'Yes.' 'It's true that I wanted to overthrow Foltest.;['Foltest'];['Foltest']
329;The Last Wish;Geralt remained silent.;['Geralt'];['Geralt']
330;The Last Wish;'I loved Adda.;['Adda'];['Adda']
361;The Last Wish;'No.' Ostrit did not hear the scrape of the tomb lid being moved aside, but the witcher did.;['Ostrit'];['Ostrit']
363;The Last Wish;Ostrit did not wait for the word.;['Ostrit'];['Ostrit']
367;The Last Wish;Geralt, prudently behind the staircase balustrade, saw the misshapen figure of the striga speeding swiftly and unerringly in the direction of Ostrit's receeding footsteps.;['Geralt', 'Ostrit'];['Geralt', 'Ostrit']
370;The Last Wish;The witcher couldn't make out exactly how far away it was - his sharpened hearing deceived him - but he knew that the striga had caught up with Ostrit quickly.;['Ostrit'];['Ostrit']
375;The Last Wish;He knew that the striga, although well fed after the last full moon, would not readily abandon Ostrit's corpse.;['Ostrit'];['Ostrit']
387;The Last Wish;The striga stood motionless, her gaze fixed on Geralt.;['Geralt'];['Geralt']
390;The Last Wish;Geralt jumped to the side, spun a swift pirouette.;['Geralt'];['Geralt']
392;The Last Wish;She didn't lose her balance and attacked anew, mid-spin, gnashing her teeth fractions of an inch from Geralt's chest.;['Geralt'];['Geralt']
402;The Last Wish;Geralt backed away and, carefully placing his feet, traced a semi-circle.;['Geralt'];['Geralt']
408;The Last Wish;Geralt was content - if he wanted he could kill the striga without great difficulty.;['Geralt'];['Geralt']
411;The Last Wish;Geralt moved to a safer distance and, without letting the writhing shape on the floor out of his sight, breathed deeply, focused himself.;['Geralt'];['Geralt']
415;The Last Wish;Geralt waited calmly and, with his raised right hand, traced the Sign of Aard in front of him.;['Geralt', 'the Sign of Aard'];['Geralt']
420;The Last Wish;Geralt grew uneasy.;['Geralt'];['Geralt']
426;The Last Wish;To gain time Geralt jumped on to the stairs leading to the gallery.;['Geralt'];['Geralt']
432;The Last Wish;Geralt, feeling fury building inside him, swayed, bent backwards and, with a mighty kick, knocked the beast off her legs.;['Geralt'];['Geralt']
436;The Last Wish;Geralt waited.;['Geralt'];['Geralt']
440;The Last Wish;Geralt stopped abruptly, froze with his sword raised.;['Geralt'];['Geralt']
446;The Last Wish;Geralt was close again, the blade shimmering in his hand.;['Geralt'];['Geralt']
451;The Last Wish;Geralt stood quivering in the middle of the hall.;['Geralt'];['Geralt']
466;The Last Wish;Geralt pulled the third vial from beneath his tunic, quickly drank its contents, climbed into the tomb and stretched out in it.;['Geralt', 'third'];['Geralt']
469;The Last Wish;He lay on his back next to Adda's mummified corpse and traced the Sign of Yrden on the inside of the slab.;['Adda'];['Adda']
473;The Last Wish;VII When Geralt opened his eyes the sand had passed through the hourglass, which meant his sleep had been even longer than he had intended.;['Geralt'];['Geralt']
491;The Last Wish;Geralt removed his gloves, put his sword aside and, without any fuss, drew up her top lip with his finger.;['Geralt'];['Geralt']
523;The Last Wish;'Lie still, witcher,' said Velerad.;['Velerad'];['Velerad']
534;The Last Wish;Foltest has been repeating it over and over for the last two days.';['Foltest', 'the last two days'];['Foltest']
548;The Last Wish;But Foltest says this will change.;['Foltest'];['Foltest']
549;The Last Wish;I don't think it'll change for the worse, do you, Geralt?';['Geralt'];['Geralt']
554;The Last Wish;Velerad got up.;['Velerad'];['Velerad']
555;The Last Wish;'Geralt?;['Geralt'];['Geralt']
558;The Last Wish;Geralt?';['Geralt'];['Geralt']
560;The Last Wish;THE VOICE OF REASON 2 I 'Geralt.';['THE VOICE OF REASON', 'Geralt'];['Geralt']
564;The Last Wish;'It's late,' said Nenneke, opening the shutters.;['Nenneke'];['Nenneke']
568;The Last Wish;Geralt felt a trickle of cool saliva on his shoulder, where her lips had been a moment ago.;['Geralt', 'a moment ago'];['Geralt']
583;The Last Wish;I wanted-' 'Don't speak to her, Geralt,' said Nenneke.;['Geralt', 'Nenneke'];['Geralt', 'Nenneke']
586;The Last Wish;No longer reminding him, in any way, of- Yennefer.;['Yennefer'];['Yennefer']
587;The Last Wish;'Nenneke,' he said, reaching for his shirt.;['Nenneke'];['Nenneke']
608;The Last Wish;As soon as he had arrived in Ellander, Nenneke had removed the painfully thick stitches of shoemaker's twine with which they had stitched him in Wyzim, opened the wound and dressed it again.;['Nenneke', 'Wyzim'];['Nenneke']
614;The Last Wish;Nenneke felt the wound, washed it and began to curse.;['Nenneke'];['Nenneke']
621;The Last Wish;Geralt, what's happening to you?;['Geralt'];['Geralt']
630;The Last Wish;You're losing your reflexes, Geralt.';['Geralt'];['Geralt']
633;The Last Wish;Nenneke spread a greenish mush smelling sharply of eucalyptus over the wound.;['Nenneke'];['Nenneke']
641;The Last Wish;Nenneke shrugged, bandaging his neck with quick, deft movements.;['Nenneke'];['Nenneke']
651;The Last Wish;Nenneke got up.;['Nenneke'];['Nenneke']
671;The Last Wish;Geralt's friend, the troubadour Dandilion, who enjoyed a reputation as a specialist in every possible field, looked for simpler explanations.;['Geralt'];['Geralt']
677;The Last Wish;'Geralt.' 'Nenneke.;['Geralt', 'Nenneke'];['Geralt', 'Nenneke']
688;The Last Wish;'While I,' Nenneke winced, 'don't think a trance will harm you in any way.';['Nenneke'];['Nenneke']
700;The Last Wish;But for me, Geralt, faith allows you to expect what my goddess personifies from nature: order, law, goodness.;['Geralt'];['Geralt']
706;The Last Wish;Geralt, we'll simply sit together for a while - you, me and Iola - and see if the girl's talents will let her see into the vortex of power surrounding you.;['Geralt'];['Geralt']
715;The Last Wish;'Geralt, you're sick.';['Geralt'];['Geralt']
737;The Last Wish;'No.' Nenneke leant over and looked him in the eyes with a strange smile on her pale lips.;['Nenneke'];['Nenneke']
746;The Last Wish;'We'll go a little out of our way, Roach,' he said.;['Roach'];['Roach']
749;The Last Wish;The mare walked on, obedient to Geralt's voice.;['Geralt'];['Geralt']
750;The Last Wish;'Maybe it's just a dead elk,' said Geralt.;['Geralt'];['Geralt']
759;The Last Wish;Geralt saw the first corpse immediately - the white of the sheepskin jacket and matt-blue of the dress stood out clearly against a yellowing clump of sedge.;['Geralt', 'first', 'matt-blue'];['Geralt']
762;The Last Wish;Geralt jumped off his horse.;['Geralt'];['Geralt']
766;The Last Wish;Geralt didn't turn the body over, seeing that the wolves and birds hadn't been idle.;['Geralt'];['Geralt']
771;The Last Wish;Two letters, written on canvas, were damp with rain and dew, smudged beyond readability.;['Two'];['Two']
773;The Last Wish;It was a credit note made out by the dwarves' bank in Murivel to a merchant called Rulle Asper, or Aspen.;['Murivel', 'Rulle Asper', 'Aspen'];['Rulle']
775;The Last Wish;Bending over, Geralt lifted the man's right hand.;['Bending', 'Geralt'];['Geralt']
780;The Last Wish;It was the first time Geralt had seen such a rose.;['first', 'Geralt'];['Geralt']
787;The Last Wish;'So, Roach,' he said quietly, 'the case is reasonably clear.;['Roach'];['Roach']
799;The Last Wish;'The thing which killed them,' continued Geralt, watching the forest's edge, 'was neither a werewolf nor a leshy.;['Geralt'];['Geralt']
804;The Last Wish;'Well, Roach.;['Roach'];['Roach']
818;The Last Wish;Geralt, wrapping his left arm around the horse's neck, swept his right hand - the fingers arranged in the Sign of Axia - over the mount's head as he whispered an incantation.;['Geralt'];['Geralt']
821;The Last Wish;'Easy, Roach, easy.';['Roach'];['Roach']
827;The Last Wish;Geralt looked up.;['Geralt'];['Geralt']
831;The Last Wish;"Roach snorted; the muscles in her neck twitched, moved under her skin.";['Roach'];['Roach']
840;The Last Wish;Geralt took another stepf, the leaves rustled underfoot, and the girl ran down the slope like a deer, flitting between the hazel bushes.;['Geralt'];['Geralt']
843;The Last Wish;Roach neighed anxiously, tossing her head.;['Roach'];['Roach']
844;The Last Wish;Geralt, still watching the forest, instinctively calmed her with the Sign again.;['Geralt'];['Geralt']
847;The Last Wish;After a moment's hesitation Geralt reached out and touched the tarnished ring.;['Geralt'];['Geralt']
850;The Last Wish;He entered, leading Roach.;['Roach'];['Roach']
855;The Last Wish;Geralt threw Roach's reins over the pillar by the gate and slowly made his way towards the mansion, following the gravel path past a small fountain full of leaves and rubbish.;['Geralt', 'Roach'];['Geralt', 'Roach']
880;The Last Wish;Because if you don't, then-' 'Then what?' interrupted Geralt.;['Geralt'];['Geralt']
883;The Last Wish;He spoke calmly, baring his fangs and glowering at Geralt with bloodshot eyes.;['Geralt'];['Geralt']
887;The Last Wish;'It is customary,' Geralt agreed, 'when faced with people who greet their guests with a roar and the cry that they're going to tear you to pieces.';['Geralt'];['Geralt']
916;The Last Wish;asked Geralt calmly.;['Geralt'];['Geralt']
932;The Last Wish;Geralt didn't move, scrutinising him.;['Geralt'];['Geralt']
