;Book;Source;Target;Value;Normalized;Weight
0;The Last Wish;Abrad;Evermir;1;0.0;0.0011402508551881414
1;The Last Wish;Adalia;Geralt;2;0.019230769230769232;0.002280501710376283
2;The Last Wish;Adam;Geralt;1;0.0;0.0011402508551881414
3;The Last Wish;Adda;Foltest;1;0.0;0.0011402508551881414
4;The Last Wish;Adda;Geralt;3;0.038461538461538464;0.0034207525655644243
5;The Last Wish;Adda;Ostrit;1;0.0;0.0011402508551881414
6;The Last Wish;Adda;Segelin;1;0.0;0.0011402508551881414
7;The Last Wish;Akerspaark;Roegner;1;0.0;0.0011402508551881414
8;The Last Wish;Aridea;Fredefalk;5;0.07692307692307693;0.005701254275940707
9;The Last Wish;Aridea;Geralt;2;0.019230769230769232;0.002280501710376283
10;The Last Wish;Aridea;Renfri;2;0.019230769230769232;0.002280501710376283
11;The Last Wish;Aridea;Stregobor;1;0.0;0.0011402508551881414
12;The Last Wish;Audoen;Caldemeyn;2;0.019230769230769232;0.002280501710376283
13;The Last Wish;Audoen;Geralt;4;0.057692307692307696;0.004561003420752566
14;The Last Wish;Audoen;Renfri;5;0.07692307692307693;0.005701254275940707
15;The Last Wish;Baron;Civril;2;0.019230769230769232;0.002280501710376283
16;The Last Wish;Baron;Pavetta;1;0.0;0.0011402508551881414
17;The Last Wish;Beau;Chireadan;3;0.038461538461538464;0.0034207525655644243
18;The Last Wish;Beau;Geralt;6;0.09615384615384616;0.0068415051311288486
19;The Last Wish;Beau;Yennefer;1;0.0;0.0011402508551881414
20;The Last Wish;Borg;Karelka;1;0.0;0.0011402508551881414
21;The Last Wish;Caldemeyn;Geralt;17;0.3076923076923077;0.019384264538198404
22;The Last Wish;Caldemeyn;Irion;1;0.0;0.0011402508551881414
23;The Last Wish;Caldemeyn;Marilka;1;0.0;0.0011402508551881414
24;The Last Wish;Caldemeyn;Renfri;3;0.038461538461538464;0.0034207525655644243
25;The Last Wish;Cerberus;Geralt;3;0.038461538461538464;0.0034207525655644243
26;The Last Wish;Cerro;Vridank;1;0.0;0.0011402508551881414
27;The Last Wish;Chireadan;Errdil;5;0.07692307692307693;0.005701254275940707
28;The Last Wish;Chireadan;Geralt;27;0.5;0.03078677309007982
29;The Last Wish;Chireadan;Krepp;2;0.019230769230769232;0.002280501710376283
30;The Last Wish;Chireadan;Laurelnose;3;0.038461538461538464;0.0034207525655644243
31;The Last Wish;Chireadan;Neville;6;0.09615384615384616;0.0068415051311288486
32;The Last Wish;Chireadan;Vratimir;2;0.019230769230769232;0.002280501710376283
33;The Last Wish;Chireadan;Yennefer;12;0.21153846153846154;0.013683010262257697
34;The Last Wish;Civril;Fifteen;3;0.038461538461538464;0.0034207525655644243
35;The Last Wish;Civril;Geralt;5;0.07692307692307693;0.005701254275940707
36;The Last Wish;Civril;Marilka;1;0.0;0.0011402508551881414
37;The Last Wish;Civril;Nohorn;5;0.07692307692307693;0.005701254275940707
38;The Last Wish;Civril;Renfri;2;0.019230769230769232;0.002280501710376283
39;The Last Wish;Civril;Tavik;4;0.057692307692307696;0.004561003420752566
40;The Last Wish;Count;Geralt;1;0.0;0.0011402508551881414
41;The Last Wish;Crach;Draig;1;0.0;0.0011402508551881414
42;The Last Wish;Crach;Eist;1;0.0;0.0011402508551881414
43;The Last Wish;Crach;Geralt;3;0.038461538461538464;0.0034207525655644243
44;The Last Wish;Crach;Pavetta;1;0.0;0.0011402508551881414
45;The Last Wish;Crach;Roegner;1;0.0;0.0011402508551881414
46;The Last Wish;Dennis;Falwick;3;0.038461538461538464;0.0034207525655644243
47;The Last Wish;Dennis;Geralt;8;0.1346153846153846;0.009122006841505131
48;The Last Wish;Dezmod;Geralt;2;0.019230769230769232;0.002280501710376283
49;The Last Wish;Dhun;Geralt;21;0.38461538461538464;0.02394526795895097
50;The Last Wish;Dhun;Lille;9;0.15384615384615385;0.010262257696693273
51;The Last Wish;Dhun;Nettly;6;0.09615384615384616;0.0068415051311288486
52;The Last Wish;Dragomir;Nenneke;1;0.0;0.0011402508551881414
53;The Last Wish;Dragomir;Trigla;1;0.0;0.0011402508551881414
54;The Last Wish;Draig;Eist;4;0.057692307692307696;0.004561003420752566
55;The Last Wish;Draig;Geralt;2;0.019230769230769232;0.002280501710376283
56;The Last Wish;Draig;Mousesack;1;0.0;0.0011402508551881414
57;The Last Wish;Draig;Rainfarn;1;0.0;0.0011402508551881414
58;The Last Wish;Draig;Vissegerd;2;0.019230769230769232;0.002280501710376283
59;The Last Wish;Draig;Windhalm;1;0.0;0.0011402508551881414
60;The Last Wish;Drogodar;Eylembert;1;0.0;0.0011402508551881414
61;The Last Wish;Drogodar;Fodcat;1;0.0;0.0011402508551881414
62;The Last Wish;Drogodar;Geralt;6;0.09615384615384616;0.0068415051311288486
63;The Last Wish;Drogodar;Two;1;0.0;0.0011402508551881414
64;The Last Wish;Drogodar;Vissegerd;1;0.0;0.0011402508551881414
65;The Last Wish;Eist;Geralt;10;0.17307692307692307;0.011402508551881414
66;The Last Wish;Eist;Mousesack;2;0.019230769230769232;0.002280501710376283
67;The Last Wish;Eist;Pavetta;6;0.09615384615384616;0.0068415051311288486
68;The Last Wish;Eist;Rainfarn;3;0.038461538461538464;0.0034207525655644243
69;The Last Wish;Eist;Vissegerd;3;0.038461538461538464;0.0034207525655644243
70;The Last Wish;Eltibald;Stregobor;2;0.019230769230769232;0.002280501710376283
71;The Last Wish;Ermellia;Geralt;1;0.0;0.0011402508551881414
72;The Last Wish;Errdil;Geralt;7;0.11538461538461539;0.00798175598631699
73;The Last Wish;Errdil;Krepp;2;0.019230769230769232;0.002280501710376283
74;The Last Wish;Errdil;Neville;1;0.0;0.0011402508551881414
75;The Last Wish;Errdil;Vesemir;1;0.0;0.0011402508551881414
76;The Last Wish;Errdil;Vratimir;1;0.0;0.0011402508551881414
77;The Last Wish;Errdil;Yennefer;4;0.057692307692307696;0.004561003420752566
78;The Last Wish;Eskel;Geralt;1;0.0;0.0011402508551881414
79;The Last Wish;Eskel;Vesemir;1;0.0;0.0011402508551881414
80;The Last Wish;Evermir;Fialka;1;0.0;0.0011402508551881414
81;The Last Wish;Eylembert;Haxo;1;0.0;0.0011402508551881414
82;The Last Wish;Falwick;Geralt;26;0.4807692307692308;0.029646522234891677
83;The Last Wish;Falwick;Hereward;2;0.019230769230769232;0.002280501710376283
84;The Last Wish;Falwick;Nenneke;10;0.17307692307692307;0.011402508551881414
85;The Last Wish;Fenne;Geralt;2;0.019230769230769232;0.002280501710376283
86;The Last Wish;Fenne;Nivellen;3;0.038461538461538464;0.0034207525655644243
87;The Last Wish;Fialka;Silvena;1;0.0;0.0011402508551881414
88;The Last Wish;Fifteen;Geralt;2;0.019230769230769232;0.002280501710376283
89;The Last Wish;Fifteen;Nimir;1;0.0;0.0011402508551881414
90;The Last Wish;Fifteen;Nohorn;8;0.1346153846153846;0.009122006841505131
91;The Last Wish;Fifteen;Renfri;2;0.019230769230769232;0.002280501710376283
92;The Last Wish;Fifteen;Tavik;2;0.019230769230769232;0.002280501710376283
93;The Last Wish;Filavandrel;Galarr;2;0.019230769230769232;0.002280501710376283
94;The Last Wish;Filavandrel;Geralt;7;0.11538461538461539;0.00798175598631699
95;The Last Wish;Filavandrel;Lille;4;0.057692307692307696;0.004561003420752566
96;The Last Wish;Filavandrel;Torque;4;0.057692307692307696;0.004561003420752566
97;The Last Wish;Filavandrel;Toruviel;11;0.19230769230769232;0.012542759407069556
98;The Last Wish;Fodcat;Geralt;1;0.0;0.0011402508551881414
99;The Last Wish;Fodcat;Vissegerd;1;0.0;0.0011402508551881414
100;The Last Wish;Fodcat;Wieldhill;1;0.0;0.0011402508551881414
101;The Last Wish;Foltest;Geralt;12;0.21153846153846154;0.013683010262257697
102;The Last Wish;Foltest;Ostrit;3;0.038461538461538464;0.0034207525655644243
103;The Last Wish;Foltest;Velerad;1;0.0;0.0011402508551881414
104;The Last Wish;Fredefalk;Geralt;2;0.019230769230769232;0.002280501710376283
105;The Last Wish;Fredefalk;Renfri;1;0.0;0.0011402508551881414
106;The Last Wish;Fredefalk;Stregobor;1;0.0;0.0011402508551881414
107;The Last Wish;Galarr;Geralt;4;0.057692307692307696;0.004561003420752566
108;The Last Wish;Galarr;Torque;4;0.057692307692307696;0.004561003420752566
109;The Last Wish;Galarr;Toruviel;3;0.038461538461538464;0.0034207525655644243
110;The Last Wish;Galarr;Vanadain;2;0.019230769230769232;0.002280501710376283
111;The Last Wish;Geoffrey;Geralt;1;0.0;0.0011402508551881414
112;The Last Wish;Geoffrey;Krepp;1;0.0;0.0011402508551881414
113;The Last Wish;Geralt;Glutton;1;0.0;0.0011402508551881414
114;The Last Wish;Geralt;Haxo;9;0.15384615384615385;0.010262257696693273
115;The Last Wish;Geralt;Hereward;4;0.057692307692307696;0.004561003420752566
116;The Last Wish;Geralt;Iola;1;0.0;0.0011402508551881414
